TIME,PID,D0,D1,D2,D3,D4,D5,D6,D7,CRC
27.433297937500001,0x06,0x02,0x00,0x00,0x4C,0xA8,0x73,0xF1,0x01,0x9C
27.533786625000001,0x07,0xF6,0x01,0x9E,0x73,0x4C,,,,0x62
27.634275562500001,0x06,0x02,0x00,0x00,0x4C,0x9B,0x73,0xF3,0x01,0xA7
27.734764375000001,0x07,0xF4,0x01,0xAF,0x73,0x4C,,,,0x53
27.835253375000001,0x06,0x02,0x00,0x00,0x4C,0xB2,0x73,0xF4,0x01,0x8F
27.935742000000001,0x07,0xF9,0x01,0x9D,0x73,0x4C,,,,0x60
28.036230937500001,0x06,0x02,0x00,0x00,0x4C,0x98,0x73,0xF4,0x01,0xA9
28.136719625000001,0x07,0xF7,0x01,0xB9,0x73,0x4C,,,,0x46
28.237208625000001,0x06,0x02,0x00,0x00,0x4C,0x9D,0x73,0xF2,0x01,0xA6
28.337692437499999,0x07,0xF5,0x01,0x9A,0x73,0x4C,,,,0x67
28.438181374999999,0x06,0x02,0x00,0x00,0x4C,0xC1,0x73,0xEE,0x01,0x86
28.538670062500000,0x07,0xF4,0x01,0xC3,0x73,0x4C,,,,0x3F
28.639159062499999,0x06,0x02,0x00,0x00,0x4C,0x98,0x73,0xEC,0x01,0xB1
28.739647937499999,0x07,0xF2,0x01,0x94,0x73,0x4C,,,,0x70
28.840136874999999,0x06,0x02,0x00,0x00,0x4C,0xCA,0x73,0xE9,0x01,0x82
28.940625499999999,0x07,0xF2,0x01,0x98,0x73,0x4C,,,,0x6C
29.041114374999999,0x06,0x02,0x00,0x00,0x4C,0xC9,0x73,0xF0,0x01,0x7C
29.141603125000000,0x07,0xF5,0x01,0xCF,0x73,0x4C,,,,0x32
29.242087500000000,0x06,0x02,0x00,0x00,0x4C,0xD3,0x73,0xF2,0x01,0x70
29.342579499999999,0x07,0xF2,0x01,0xCB,0x73,0x4C,,,,0x39
29.443063875000000,0x06,0x02,0x00,0x00,0x4C,0xD4,0x73,0xEB,0x01,0x76
29.543552562500000,0x07,0xF3,0x01,0xD8,0x73,0x4C,,,,0x2B
29.644041500000000,0x06,0x02,0x00,0x00,0x4C,0xCC,0x73,0xEF,0x01,0x7A
29.744530375000000,0x07,0xF4,0x01,0xC9,0x73,0x4C,,,,0x39
29.845019499999999,0x06,0x02,0x00,0x00,0x4C,0xE0,0x73,0xF2,0x01,0x63
3.014644875000000,0x07,0xF6,0x01,0x75,0x74,0x4C,,,,0x8A
3.115133812500000,0x06,0x02,0x00,0x00,0x4C,0x76,0x74,0xF8,0x01,0xC6
3.215621375000000,0x07,0xE8,0x01,0x69,0x74,0x4C,,,,0xA4
3.316110375000000,0x06,0x02,0x00,0x00,0x4C,0x78,0x74,0xF3,0x01,0xC9
3.416599000000000,0x07,0xEE,0x01,0x78,0x74,0x4C,,,,0x8F
3.517088000000000,0x06,0x02,0x00,0x00,0x4C,0x66,0x74,0xF1,0x01,0xDD
3.617576937500000,0x07,0xF0,0x01,0x5E,0x74,0x4C,,,,0xA7
3.718065875000000,0x06,0x02,0x00,0x00,0x4C,0x79,0x74,0xE9,0x01,0xD2
3.818554562500000,0x07,0xF3,0x01,0x7A,0x74,0x4C,,,,0x88
3.919043562500000,0x06,0x02,0x00,0x00,0x4C,0x57,0x74,0xEF,0x01,0xEE
4.019532187500000,0x07,0xF3,0x01,0x7B,0x74,0x4C,,,,0x87
4.120016500000000,0x06,0x02,0x00,0x00,0x4C,0x7C,0x74,0xF4,0x01,0xC4
4.220508687500000,0x07,0xEA,0x01,0x4D,0x74,0x4C,,,,0xBE
