rosbagTimestamp,northing,data,easting,data
1526291577574373274,,5548283.71383,,7422651.14241
1526291577624203741,,5548283.71457,,7422651.14207
1526291577674311786,,5548283.71346,,7422651.14193
1526291577724016115,,5548283.71495,,7422651.14183
1526291577774415377,,5548283.71271,,7422651.1424
1526291577823933032,,5548283.71346,,7422651.14217
1526291577874125017,,5548283.71197,,7422651.14286
1526291577924048656,,5548283.71441,,7422651.14087
1526291577974164471,,5548283.7155,,7422651.14196
1526291578023846782,,5548283.71458,,7422651.14183
1526291578074764812,,5548283.71105,,7422651.14225
1526291578124154730,,5548283.71105,,7422651.14225
1526291578173600369,,5548283.71272,,7422651.1418
1526291578223507077,,5548283.71123,,7422651.14273
1526291578274294346,,5548283.7129,,7422651.14228
1526291578323907923,,5548283.714,,7422651.14337
1526291578374108662,,5548283.71086,,7422651.14273
1526291578423956106,,5548283.71345,,7422651.14288
1526291578474272056,,5548283.71215,,7422651.14275
1526291578524257664,,5548283.71233,,7422651.14358
1526291578577006231,,5548283.71439,,7422651.14218
1526291578624033781,,5548283.71362,,7422651.14384
1526291578674269353,,5548283.71419,,7422651.1429
1526291578723962119,,5548283.71364,,7422651.14253
1526291578774411664,,5548283.71365,,7422651.14169
1526291578824305090,,5548283.7131,,7422651.14121
1526291578874177157,,5548283.71254,,7422651.14192
1526291578924418345,,5548283.71308,,7422651.14276
1526291578974359078,,5548283.71142,,7422651.14226
1526291579024280129,,5548283.71551,,7422651.14136
1526291579074743676,,5548283.71179,,7422651.14214
1526291579123945178,,5548283.71289,,7422651.14276
1526291579174010020,,5548283.71493,,7422651.14314
1526291579224366445,,5548283.7131,,7422651.14157
1526291579274244436,,5548283.71157,,7422651.14441
1526291579324171502,,5548283.71382,,7422651.14313
1526291579374433153,,5548283.7125,,7422651.14418
1526291579424302179,,5548283.71232,,7422651.14406
1526291579474608105,,5548283.7125,,7422651.1443
1526291579524356160,,5548283.71232,,7422651.14406
1526291579574381410,,5548283.71195,,7422651.14429
1526291579624078040,,5548283.71045,,7422651.14523
1526291579674457724,,5548283.71269,,7422651.14407
1526291579724185219,,5548283.71212,,7422651.14525
1526291579774305279,,5548283.7125,,7422651.14442
1526291579824378843,,5548283.71399,,7422651.14373
1526291579873696554,,5548283.71233,,7422651.14335
1526291579923859385,,5548283.71343,,7422651.14396
1526291579974205532,,5548283.71381,,7422651.14337
1526291580024548031,,5548283.71399,,7422651.1442
1526291580074172321,,5548283.71382,,7422651.14277
1526291580133001662,,5548283.71231,,7422651.14502
1526291580174085114,,5548283.71304,,7422651.14527
1526291580223577723,,5548283.71268,,7422651.1449
1526291580276489467,,5548283.71212,,7422651.14537
1526291580323663167,,5548283.71211,,7422651.14549
1526291580373992241,,5548283.71194,,7422651.14489
1526291580423994912,,5548283.71322,,7422651.14563
1526291580474136763,,5548283.71325,,7422651.14384
1526291580524064588,,5548283.7136,,7422651.14503
1526291580574220408,,5548283.71155,,7422651.14572
1526291580623789260,,5548283.71211,,7422651.14597
1526291580674247440,,5548283.7123,,7422651.14561
1526291580723759751,,5548283.71193,,7422651.14573
1526291580774229376,,5548283.71155,,7422651.14608
1526291580824734044,,5548283.71156,,7422651.14548
1526291580874135795,,5548283.71322,,7422651.14622
1526291580924617829,,5548283.71267,,7422651.14562
1526291580973776788,,5548283.71322,,7422651.14563
