rosbagTimestamp,northing,data,status,data,easting,data
1526641309571926769,,5548336.67032,,2,,7422483.24665
1526641309621845476,,5548336.67088,,2,,7422483.24654
1526641309671831093,,5548336.67201,,2,,7422483.24548
1526641309721811694,,5548336.67126,,2,,7422483.24583
1526641309771970555,,5548336.67107,,2,,7422483.24595
1526641309822076947,,5548336.67146,,2,,7422483.24512
1526641309871746016,,5548336.67219,,2,,7422483.24537
1526641309922112253,,5548336.67109,,2,,7422483.24463
1526641309972129092,,5548336.67184,,2,,7422483.24417
1526641310022027416,,5548336.67201,,2,,7422483.24548
1526641310071775873,,5548336.67185,,2,,7422483.24321
1526641310121899039,,5548336.67258,,2,,7422483.24454
1526641310171995483,,5548336.67166,,2,,7422483.24404
1526641310221700791,,5548336.67222,,2,,7422483.24346
1526641310271778095,,5548336.67221,,2,,7422483.24405
1526641310321780905,,5548336.67203,,2,,7422483.24357
1526641310372355450,,5548336.67167,,2,,7422483.24333
1526641310421923486,,5548336.67259,,2,,7422483.24382
1526641310471114284,,5548336.67278,,2,,7422483.24346
1526641310521117622,,5548336.67372,,2,,7422483.24252
1526641310570961915,,5548336.67279,,2,,7422483.24263
1526641310621299088,,5548336.67371,,2,,7422483.243
1526641310672022589,,5548336.67277,,2,,7422483.24394
1526641310721876469,,5548336.67297,,2,,7422483.24287
1526641310772134003,,5548336.66974,,2,,7422483.24867
1526641310822189943,,5548336.66956,,2,,7422483.24807
1526641310871735508,,5548336.67087,,2,,7422483.24714
1526641310921889665,,5548336.66773,,2,,7422483.24649
1526641310972040482,,5548336.66497,,2,,7422483.24478
1526641311021657160,,5548336.66425,,2,,7422483.24334
1526641311071968691,,5548336.6613,,2,,7422483.24258
1526641311120996896,,5548336.65875,,2,,7422483.23896
1526641311171241571,,5548336.65397,,2,,7422483.23663
1526641311221866299,,5548336.65011,,2,,7422483.23407
1526641311271835066,,5548336.64717,,2,,7422483.23211
1526641311321697798,,5548336.64461,,2,,7422483.22981
1526641311372131256,,5548336.64366,,2,,7422483.23099
1526641311421867303,,5548336.6435,,2,,7422483.22955
1526641311471909124,,5548336.64054,,2,,7422483.22927
1526641311521405866,,5548336.64364,,2,,7422483.23266
1526641311571761035,,5548336.64364,,2,,7422483.23266
1526641311621906540,,5548336.64513,,2,,7422483.23208
1526641311671611482,,5548336.64455,,2,,7422483.23375
1526641311721751739,,5548336.64771,,2,,7422483.23331
1526641311771536968,,5548336.64861,,2,,7422483.23536
1526641311821791902,,5548336.65083,,2,,7422483.23575
1526641311871882732,,5548336.65101,,2,,7422483.23623
1526641311924759834,,5548336.65451,,2,,7422483.23759
1526641311973316658,,5548336.65265,,2,,7422483.23756
1526641312021593477,,5548336.65543,,2,,7422483.2382
1526641312072063723,,5548336.65541,,2,,7422483.23915
1526641312121980636,,5548336.65782,,2,,7422483.23907
1526641312171420271,,5548336.65727,,2,,7422483.23894
1526641312221546455,,5548336.65782,,2,,7422483.23943
1526641312271744768,,5548336.65707,,2,,7422483.23966
1526641312322194533,,5548336.65726,,2,,7422483.2393
1526641312372463376,,5548336.65858,,2,,7422483.23837
1526641312422400148,,5548336.65765,,2,,7422483.23859
1526641312471888424,,5548336.65634,,2,,7422483.23917
1526641312521667188,,5548336.65746,,2,,7422483.23835
1526641312571661338,,5548336.65784,,2,,7422483.238
1526641312621652156,,5548336.65784,,2,,7422483.23824
1526641312671955710,,5548336.65874,,2,,7422483.23956
1526641312721797105,,5548336.65837,,2,,7422483.23968
1526641312771757762,,5548336.65428,,2,,7422483.24069
1526641312821646387,,5548336.65466,,2,,7422483.23974
1526641312871514428,,5548336.65448,,2,,7422483.23986
1526641312922070365,,5548336.65577,,2,,7422483.24023
1526641312971670974,,5548336.65503,,2,,7422483.23963
1526641313021932682,,5548336.65577,,2,,7422483.24035
1526641313071463562,,5548336.65669,,2,,7422483.24072
1526641313122102810,,5548336.65594,,2,,7422483.24095
1526641313171897320,,5548336.65556,,2,,7422483.24142
1526641313221419334,,5548336.65594,,2,,7422483.24143
1526641313271312213,,5548336.65724,,2,,7422483.24073
1526641313321997652,,5548336.65594,,2,,7422483.24095
1526641313371848653,,5548336.65612,,2,,7422483.24167
1526641313421875966,,5548336.6563,,2,,7422483.24191
1526641313471914431,,5548336.6563,,2,,7422483.24179
1526641313521921641,,5548336.65686,,2,,7422483.24132
1526641313571987253,,5548336.65649,,2,,7422483.24168
1526641313621971000,,5548336.65814,,2,,7422483.24266
1526641313671864451,,5548336.65835,,2,,7422483.24135
1526641313721503061,,5548336.65758,,2,,7422483.24289
1526641313771359756,,5548336.65629,,2,,7422483.24275
1526641313821681455,,5548336.65685,,2,,7422483.24204
1526641313871496463,,5548336.65597,,2,,7422483.2394
1526641313921968351,,5548336.64896,,2,,7422483.23691
1526641313971826311,,5548336.64403,,2,,7422483.23159
1526641314021393291,,5548336.63741,,2,,7422483.22768
1526641314071766162,,5548336.62968,,2,,7422483.22339
1526641314121983599,,5548336.6249,,2,,7422483.22069
1526641314171601686,,5548336.61794,,2,,7422483.21534
1526641314221640040,,5548336.60856,,2,,7422483.2096
1526641314272091875,,5548336.59771,,2,,7422483.20359
1526641314321667794,,5548336.59386,,2,,7422483.20067
1526641314371914724,,5548336.58852,,2,,7422483.19821
1526641314421832544,,5548336.58117,,2,,7422483.19333
1526641314471729064,,5548336.57748,,2,,7422483.19208
1526641314579541552,,5548336.57344,,2,,7422483.18975
1526641314634428123,,5548336.56811,,2,,7422483.18657
1526641314722093594,,5548336.56256,,2,,7422483.1853
1526641314771874978,,5548336.56238,,2,,7422483.18542
1526641314821418195,,5548336.56147,,2,,7422483.18433
1526641314872115589,,5548336.5587,,2,,7422483.18345
1526641314921846688,,5548336.55999,,2,,7422483.18395
1526641314971486414,,5548336.56129,,2,,7422483.18397
1526641315021908376,,5548336.56164,,2,,7422483.18481
1526641315071728087,,5548336.56294,,2,,7422483.18495
1526641315121787246,,5548336.56497,,2,,7422483.18557
1526641315172247029,,5548336.5657,,2,,7422483.18618
1526641315221781347,,5548336.56681,,2,,7422483.18655
1526641315271840095,,5548336.56811,,2,,7422483.18657
1526641315321466809,,5548336.56995,,2,,7422483.18767
1526641315371962159,,5548336.56959,,2,,7422483.18671
1526641315421940881,,5548336.56995,,2,,7422483.18732
1526641315471456855,,5548336.57106,,2,,7422483.18781
1526641315522064216,,5548336.57142,,2,,7422483.18853
1526641315571776526,,5548336.5666,,2,,7422483.18798
1526641315621830816,,5548336.56791,,2,,7422483.18752
1526641315671875610,,5548336.56698,,2,,7422483.18787
1526641315721439030,,5548336.56809,,2,,7422483.18789
1526641315771902387,,5548336.56959,,2,,7422483.18671
1526641315821706840,,5548336.57032,,2,,7422483.18732
1526641315871707205,,5548336.56717,,2,,7422483.18739
1526641315921244529,,5548336.57087,,2,,7422483.18781
1526641315971591718,,5548336.5694,,2,,7422483.18719
1526641316021729236,,5548336.56885,,2,,7422483.1867
1526641316071950774,,5548336.56885,,2,,7422483.1867
1526641316121736389,,5548336.56922,,2,,7422483.18659
1526641316171992956,,5548336.57016,,2,,7422483.18601
1526641316221772596,,5548336.56868,,2,,7422483.18575
1526641316271613079,,5548336.56961,,2,,7422483.18552
1526641316321884781,,5548336.56906,,2,,7422483.18504
1526641316372088713,,5548336.56998,,2,,7422483.18505
1526641316422120616,,5548336.56887,,2,,7422483.18503
1526641316471750405,,5548336.57035,,2,,7422483.18553
1526641316522069934,,5548336.56906,,2,,7422483.18468
1526641316571570299,,5548336.56925,,2,,7422483.18432
1526641316621692962,,5548336.57018,,2,,7422483.18434
