rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,level,name,msg,"\ instead.\n""",file,function,line,topics
1523877374656956690,,187,,1523877374,656696503,'',2,"""/navsat_transform_node_right""","""Initial odometry pose is Origin","(0, -0, 2.6908046300636678794)\n""","""/home/eve/eve/eve_ws/src/robot_localization/src/navsat_transform.cpp""","""NavSatTransform",714,"[/rosout, /tf_static, /odometry/gps_right, /gps/filtered]"
1523877374668894708,,188,,1523877374,668562814,'',2,"""/navsat_transform_node_left""","""Initial odometry pose is Origin","(0, -0, 2.6908046300636678794)\n""","""/home/eve/eve/eve_ws/src/robot_localization/src/navsat_transform.cpp""","""NavSatTransform",714,"[/rosout, /tf_static, /odometry/gps_left, /gps/filtered]"
1523877375656953802,,189,,1523877375,656670438,'',2,"""/navsat_transform_node_right""","""Initial odometry pose is Origin","(0, -0, 2.6376523670821732104)\n""","""/home/eve/eve/eve_ws/src/robot_localization/src/navsat_transform.cpp""","""NavSatTransform",714,"[/rosout, /tf_static, /odometry/gps_right, /gps/filtered]"
1523877375668921264,,190,,1523877375,668540639,'',2,"""/navsat_transform_node_left""","""Initial odometry pose is Origin","(0, -0, 2.6376523670821732104)\n""","""/home/eve/eve/eve_ws/src/robot_localization/src/navsat_transform.cpp""","""NavSatTransform",714,"[/rosout, /tf_static, /odometry/gps_left, /gps/filtered]"
1523877376616001345,,191,,1523877376,615699389,'',4,"""/ekf_se_odom""","""Transform from odom to base_link was unavailable for the time requested. Using latest\","""/home/eve/eve/eve_ws/src/robot_localization/src/ros_filter_utilities.cpp""","""RosFilterUtilities",127,"[/rosout, /diagnostics, /odometry/filtered_odom, /tf]"
1523877376656926612,,192,,1523877376,656674053,'',2,"""/navsat_transform_node_right""","""Initial odometry pose is Origin","(0, -0, 2.5768547958357523875)\n""","""/home/eve/eve/eve_ws/src/robot_localization/src/navsat_transform.cpp""","""NavSatTransform",714,"[/rosout, /tf_static, /odometry/gps_right, /gps/filtered]"
1523877376668811700,,193,,1523877376,668517363,'',2,"""/navsat_transform_node_left""","""Initial odometry pose is Origin","(0, -0, 2.5768547958357523875)\n""","""/home/eve/eve/eve_ws/src/robot_localization/src/navsat_transform.cpp""","""NavSatTransform",714,"[/rosout, /tf_static, /odometry/gps_left, /gps/filtered]"
1523877377656901548,,194,,1523877377,656667004,'',2,"""/navsat_transform_node_right""","""Initial odometry pose is Origin","(0, -0, 2.514457725494319007)\n""","""/home/eve/eve/eve_ws/src/robot_localization/src/navsat_transform.cpp""","""NavSatTransform",714,"[/rosout, /tf_static, /odometry/gps_right, /gps/filtered]"
1523877377668827957,,195,,1523877377,668523433,'',2,"""/navsat_transform_node_left""","""Initial odometry pose is Origin","(0, -0, 2.514457725494319007)\n""","""/home/eve/eve/eve_ws/src/robot_localization/src/navsat_transform.cpp""","""NavSatTransform",714,"[/rosout, /tf_static, /odometry/gps_left, /gps/filtered]"
1523877378618176254,,196,,1523877378,617916481,'',4,"""/ekf_se_odom""","""Transform from odom to base_link was unavailable for the time requested. Using latest\","""/home/eve/eve/eve_ws/src/robot_localization/src/ros_filter_utilities.cpp""","""RosFilterUtilities",127,"[/rosout, /diagnostics, /odometry/filtered_odom, /tf]"
1523877378656989232,,197,,1523877378,656682234,'',2,"""/navsat_transform_node_right""","""Initial odometry pose is Origin","(0, -0, 2.5176572627816837802)\n""","""/home/eve/eve/eve_ws/src/robot_localization/src/navsat_transform.cpp""","""NavSatTransform",714,"[/rosout, /tf_static, /odometry/gps_right, /gps/filtered]"
1523877378668934746,,198,,1523877378,668527168,'',2,"""/navsat_transform_node_left""","""Initial odometry pose is Origin","(0, -0, 2.5176572627816837802)\n""","""/home/eve/eve/eve_ws/src/robot_localization/src/navsat_transform.cpp""","""NavSatTransform",714,"[/rosout, /tf_static, /odometry/gps_left, /gps/filtered]"
1523877379656848521,,199,,1523877379,656653150,'',2,"""/navsat_transform_node_right""","""Initial odometry pose is Origin","(0, -0, 2.5689925500015755588)\n""","""/home/eve/eve/eve_ws/src/robot_localization/src/navsat_transform.cpp""","""NavSatTransform",714,"[/rosout, /tf_static, /odometry/gps_right, /gps/filtered]"
1523877379668827023,,200,,1523877379,668522954,'',2,"""/navsat_transform_node_left""","""Initial odometry pose is Origin","(0, -0, 2.5689925500015755588)\n""","""/home/eve/eve/eve_ws/src/robot_localization/src/navsat_transform.cpp""","""NavSatTransform",714,"[/rosout, /tf_static, /odometry/gps_left, /gps/filtered]"
1523877380621255286,,201,,1523877380,620953194,'',4,"""/ekf_se_odom""","""Transform from odom to base_link was unavailable for the time requested. Using latest\","""/home/eve/eve/eve_ws/src/robot_localization/src/ros_filter_utilities.cpp""","""RosFilterUtilities",127,"[/rosout, /diagnostics, /odometry/filtered_odom, /tf]"
1523877380656905528,,202,,1523877380,656665600,'',2,"""/navsat_transform_node_right""","""Initial odometry pose is Origin","(0, -0, 2.4921376143516318358)\n""","""/home/eve/eve/eve_ws/src/robot_localization/src/navsat_transform.cpp""","""NavSatTransform",714,"[/rosout, /tf_static, /odometry/gps_right, /gps/filtered]"
1523877380668766476,,203,,1523877380,668514322,'',2,"""/navsat_transform_node_left""","""Initial odometry pose is Origin","(0, -0, 2.4921376143516318358)\n""","""/home/eve/eve/eve_ws/src/robot_localization/src/navsat_transform.cpp""","""NavSatTransform",714,"[/rosout, /tf_static, /odometry/gps_left, /gps/filtered]"
1523877381656899636,,204,,1523877381,656665031,'',2,"""/navsat_transform_node_right""","""Initial odometry pose is Origin","(0, -0, 2.1945455372871092159)\n""","""/home/eve/eve/eve_ws/src/robot_localization/src/navsat_transform.cpp""","""NavSatTransform",714,"[/rosout, /tf_static, /odometry/gps_right, /gps/filtered]"
1523877381668735008,,205,,1523877381,668509057,'',2,"""/navsat_transform_node_left""","""Initial odometry pose is Origin","(0, -0, 2.1945455372871092159)\n""","""/home/eve/eve/eve_ws/src/robot_localization/src/navsat_transform.cpp""","""NavSatTransform",714,"[/rosout, /tf_static, /odometry/gps_left, /gps/filtered]"
1523877382622889861,,206,,1523877382,622587335,'',4,"""/ekf_se_odom""","""Transform from odom to base_link was unavailable for the time requested. Using latest\","""/home/eve/eve/eve_ws/src/robot_localization/src/ros_filter_utilities.cpp""","""RosFilterUtilities",127,"[/rosout, /diagnostics, /odometry/filtered_odom, /tf]"
1523877382656888260,,207,,1523877382,656660985,'',2,"""/navsat_transform_node_right""","""Initial odometry pose is Origin","(0, -0, 1.9389261193631806002)\n""","""/home/eve/eve/eve_ws/src/robot_localization/src/navsat_transform.cpp""","""NavSatTransform",714,"[/rosout, /tf_static, /odometry/gps_right, /gps/filtered]"
1523877382668807162,,208,,1523877382,668529794,'',2,"""/navsat_transform_node_left""","""Initial odometry pose is Origin","(0, -0, 1.9389261193631806002)\n""","""/home/eve/eve/eve_ws/src/robot_localization/src/navsat_transform.cpp""","""NavSatTransform",714,"[/rosout, /tf_static, /odometry/gps_left, /gps/filtered]"
1523877383656881539,,209,,1523877383,656658792,'',2,"""/navsat_transform_node_right""","""Initial odometry pose is Origin","(0, -0, 1.7606166904939297702)\n""","""/home/eve/eve/eve_ws/src/robot_localization/src/navsat_transform.cpp""","""NavSatTransform",714,"[/rosout, /tf_static, /odometry/gps_right, /gps/filtered]"
