Syntax version=4
Wed Apr 04 09:16:38 2018
Starting process (2338332 clocks per sec)

LogRawData=false
VarHeader=1
D:		logic_U.speed	logic_Y.gas_out
D:	777.31	0.106307	0
D:	778.42	0.106307	0
D:	779.51	0.106307	0
D:	780.56	0.106307	0
D:	781.62	0.106307	0
D:	782.68	0.106307	0
D:	783.74	0.106307	0
D:	784.82	0.106307	0
D:	785.78	0.106307	0
D:	786.75	0.106307	0
D:	787.98	0.106307	0
D:	788.95	0.106307	0
D:	790.02	0.106307	0
D:	791.13	0.106307	0
D:	792.31	0.106307	0
D:	793.36	0.106307	0
D:	794.30	0.106307	0
D:	795.31	0.106307	0
D:	796.30	0.106307	0
D:	797.25	0.106307	0
D:	798.40	0.106307	0
D:	799.37	0.106307	0
D:	800.29	0.106307	0
D:	801.36	0.106307	0
D:	802.30	0.106307	0
D:	803.33	0.106307	0
D:	804.27	0.106307	0
D:	805.49	0.106307	0
D:	806.39	0.106307	0
D:	807.33	0.106307	0
D:	808.31	0.106307	0
D:	809.27	0.106307	0
D:	810.24	0.106307	0
D:	811.20	0.106307	0
D:	812.20	0.106307	0
D:	813.26	0.106307	0
D:	814.33	0.106307	0
D:	815.42	0.106307	0
D:	816.54	0.106307	0
D:	817.60	0.106307	0
D:	818.66	0.106307	0
D:	819.57	0.106307	0
D:	820.79	0.106307	0
D:	822.01	0.106307	0
D:	823.10	0.106307	0
D:	824.16	0.106307	0
D:	825.13	0.106307	0
D:	826.11	0.106307	0
D:	827.21	0.106307	0
D:	828.26	0.106307	0
D:	829.32	0.106307	0
D:	830.47	0.106307	0
D:	831.51	0.106307	0
D:	832.58	0.106307	0
D:	833.66	0.106307	0
D:	834.85	0.106307	0
D:	836.00	0.106307	0
D:	837.04	0.106307	0
D:	838.27	0.106307	0
D:	839.36	0.106307	0
D:	840.50	0.106307	0
D:	841.60	0.106307	0
D:	842.66	0.106307	0
D:	843.74	0.106307	0
D:	844.78	0.106307	0
D:	845.78	0.106307	0
D:	846.73	0.106307	0
D:	847.68	0.106307	0
D:	848.69	0.106307	0
D:	849.71	0.106307	0
D:	850.75	0.106307	0
D:	851.72	0.106307	0
D:	852.85	0.106307	0
D:	853.97	0.106307	0
D:	855.07	0.106307	0
D:	856.18	0.106307	0
D:	857.26	0.106307	0
D:	858.38	0.106307	0
D:	859.43	0.106307	0
D:	860.53	0.106307	0
D:	861.60	0.106307	0
D:	862.71	0.106307	0
D:	863.78	0.106307	0
D:	864.86	0.106307	0
D:	865.98	0.106307	0
D:	867.13	0.106307	0
D:	868.19	0.106307	0
D:	869.12	0.106307	0
D:	870.30	0.106307	0
D:	872.14	0.106307	0
D:	873.12	0.106307	0
D:	875.11	0.106307	0
D:	877.91	0.106307	0
