Syntax version=4
Wed Apr 04 08:56:57 2018
Starting process (2338332 clocks per sec)

LogRawData=false
VarHeader=1
D:		logic_U.speed	logic_Y.gas_out
D:	279.58	0.000000	0
D:	280.17	0.000000	0
D:	280.77	0.000000	0
D:	281.44	0.000000	0
D:	282.03	0.000000	0
D:	282.61	0.000000	0
D:	283.21	0.000000	0
D:	283.82	0.000000	0
D:	284.44	0.000000	0
D:	285.04	0.000000	0
D:	285.65	0.000000	0
D:	286.24	0.000000	0
D:	286.85	0.000000	0
D:	287.44	0.000000	0
D:	288.04	0.000000	0
D:	288.65	0.000000	0
D:	289.25	0.000000	0
D:	289.85	0.000000	0
D:	290.44	0.000000	0
D:	291.04	0.000000	0
D:	291.65	0.000000	0
D:	292.25	0.000000	0
D:	292.85	0.000000	0
D:	293.56	0.000000	0
D:	294.28	0.000000	0
D:	295.02	0.000000	0
D:	295.77	0.000000	0
D:	296.52	0.000000	0
D:	297.26	0.000000	0
D:	297.99	0.000000	0
D:	298.74	0.000000	0
D:	299.50	0.000000	0
D:	300.30	0.000000	0
D:	301.04	0.000000	0
D:	301.79	0.000000	0
D:	302.56	0.000000	0
D:	303.31	0.000000	0
D:	304.06	0.000000	0
D:	304.81	0.000000	0
D:	305.56	0.000000	0
D:	306.31	0.000000	0
D:	307.03	0.000000	0
D:	307.77	0.000000	0
D:	308.51	0.000000	0
D:	309.32	0.000000	0
D:	310.06	0.000000	0
D:	310.82	0.000000	0
D:	311.56	0.000000	0
D:	312.31	0.000000	0
D:	313.06	0.000000	0
D:	313.79	0.000000	0
D:	314.56	0.000000	0
D:	315.31	0.000000	0
D:	316.09	0.000000	0
D:	316.85	0.000000	0
D:	317.60	0.000000	0
D:	318.32	0.000000	0
D:	319.11	0.000000	0
D:	319.86	0.000000	0
D:	320.61	0.000000	0
D:	321.37	0.000000	0
D:	322.11	0.000000	0
D:	322.86	0.000000	0
D:	323.61	0.000000	0
D:	324.34	0.000000	0
D:	325.11	0.000000	0
D:	325.84	0.000000	0
D:	326.56	0.000000	0
D:	327.30	0.000000	0
D:	328.05	0.000000	0
D:	328.78	0.000000	0
D:	329.56	0.000000	0
D:	330.29	0.000000	0
D:	331.04	0.000000	0
D:	331.79	0.000000	0
D:	332.56	0.000000	0
D:	333.31	0.000000	0
D:	334.06	0.000000	0
D:	334.79	0.000000	0
D:	335.56	0.000000	0
D:	336.29	0.000000	0
D:	337.04	0.000000	0
D:	337.79	0.000000	0
D:	338.56	0.000000	0
D:	339.31	0.000000	0
D:	340.05	0.000000	0
D:	340.79	0.000000	0
D:	341.56	0.000000	0
D:	342.29	0.000000	0
D:	343.06	0.000000	0
D:	343.80	0.000000	0
D:	345.02	0.000000	0
D:	345.79	0.000000	0
D:	346.55	0.000000	0
D:	347.26	0.000000	0
D:	347.99	0.000000	0
D:	348.72	0.000000	0
D:	349.47	0.000000	0
D:	350.22	0.000000	0
D:	350.96	0.000000	0
D:	351.72	0.000000	0
D:	352.47	0.000000	0
D:	353.21	0.000000	0
D:	353.94	0.000000	0
D:	354.69	0.000000	0
D:	355.47	0.000000	0
D:	356.21	0.000000	0
D:	356.96	0.000000	0
D:	357.69	0.000000	0
D:	358.47	0.000000	0
D:	359.21	0.000000	0
D:	359.97	0.000000	0
D:	360.71	0.000000	0
D:	361.47	0.000000	0
D:	362.21	0.000000	0
D:	362.94	0.000000	0
D:	363.69	0.000000	0
D:	364.47	0.000000	0
D:	365.22	0.000000	0
D:	365.96	0.000000	0
D:	366.70	0.000000	0
D:	367.47	0.000000	0
D:	368.21	0.000000	0
D:	368.94	0.000000	0
D:	369.69	0.000000	0
D:	370.47	0.000000	0
D:	371.21	0.000000	0
D:	371.94	0.000000	0
